442,508,310,244,128,130,174,138,0
508,506,308,214,108,118,178,112,0
508,488,318,272,96,140,216,112,0
506,452,210,212,200,62,74,86,0
254,192,125,224,106,44,75,71,0
253,122,119,203,133,57,52,66,0
254,221,79,117,136,64,90,52,0
254,149,169,126,91,99,104,94,0
254,175,190,194,149,116,118,131,1
668,1016,968,564,420,492,520,736,1
1012,760,884,788,540,692,532,648,1
996,756,828,876,516,1524,552,642,1
1140,912,1182,948,906,1524,510,648,1
1255,805,885,680,820,1270,545,320,1
1270,975,890,715,940,1230,565,475,1
1016,752,716,708,768,752,492,492,1
1016,936,728,484,620,592,500,556,1
762,672,417,612,543,639,531,663,1
684,534,699,672,528,762,612,681,1
285,477,762,639,399,684,651,468,1
279,138,732,705,450,483,729,762,1
695,785,1270,745,360,430,970,700,1
1016,464,988,724,336,408,912,556,1
1016,536,744,668,356,400,800,472,1
1016,552,716,552,272,592,840,492,1
1016,876,580,592,592,552,784,604,1
456,700,400,728,696,824,496,1016,1
351,528,234,543,600,639,420,762,1
560,724,252,768,972,1016,976,932,1
476,660,288,584,624,956,612,1016,1
292,652,356,472,380,732,744,1012,1
264,660,564,396,444,756,668,1016,1
905,685,860,680,470,555,585,1270,1
1270,530,1055,570,660,395,550,595,1
1524,546,966,630,672,348,738,612,1
1524,798,1068,900,666,348,756,564,1
2032,1464,1160,1560,736,456,952,648,1
1524,858,834,1218,828,228,762,558,1
1270,1055,790,1100,785,555,665,635,1
1270,1115,835,1115,815,770,750,775,1
1270,705,550,865,640,725,805,735,1
232,468,660,592,540,868,660,1012,1
248,368,564,484,512,884,520,1016,1
144,159,420,357,351,762,348,603,1
104,232,440,492,400,1016,444,708,1
128,332,552,364,416,1016,624,648,1
258,381,462,186,333,762,606,675,1
248,508,604,352,584,824,1016,816,1
432,412,576,408,796,720,1016,888,1
369,393,438,447,504,609,762,618,1
327,378,354,444,525,525,762,699,1
378,225,327,474,582,600,720,762,1
294,294,426,480,615,588,588,762,1
196,118,238,372,212,320,508,320,1
228,134,410,244,284,418,508,438,1
159,110,223,233,202,238,237,254,1
112,80,152,237,162,186,145,253,1
116,70,142,205,123,189,121,254,1
66,66,102,254,130,168,109,233,0
107,176,254,131,113,39,126,110,0
104,133,241,86,128,41,94,106,0
976,1016,1012,456,516,488,160,256,0
1778,1155,721,1134,931,525,147,350,0
2032,1312,808,1304,1032,592,192,360,0
1778,1239,693,1183,910,539,168,322,0
1778,1204,728,1162,924,532,175,308,0
1270,630,595,1005,465,175,185,200,0
508,228,184,324,232,110,88,76,0
254,130,105,91,66,53,32,46,0
254,82,113,108,68,55,56,45,0
253,125,116,115,69,54,59,56,0
254,97,112,86,73,75,31,58,0
238,235,112,131,94,102,65,82,0
140,254,139,106,81,79,84,43,0
214,253,195,142,129,88,75,76,0
216,227,225,163,219,134,67,55,0
254,111,163,154,156,98,64,46,0
240,127,254,158,179,131,79,53,0
192,110,254,146,134,108,69,43,0
232,184,254,205,160,132,85,53,0
236,211,254,221,138,132,97,49,0
254,172,237,143,105,110,89,42,0
254,231,131,189,112,86,95,42,0
157,254,120,139,100,146,86,62,0
176,254,117,123,112,152,41,55,0
204,254,162,156,126,215,56,84,0
209,254,122,214,116,212,59,74,0
243,243,253,136,149,213,84,106,0
308,212,184,162,424,508,432,286,1
220,224,222,256,460,508,348,204,1
324,250,308,374,406,508,360,260,1
390,384,362,404,398,508,426,252,1
621,531,477,582,636,708,732,759,1
528,462,369,456,345,621,594,762,1
708,600,612,596,880,844,792,1016,1
